ORIGEM,MARCA,MODELO,SERVICO_COMPLETO,PRECO,TIPO_SERVICO,QUALIDADE
IPHONES,IPHONES,IPHONE XR,CAMERA FRONTAL - COM FACE ID,499,CAMERA FRONTAL,COM FACE ID
IPHONES,IPHONES,IPHONE XR,CAMERA TRASEIRA,279,CAMERA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE XR,DOCK DE CARGA - ORG,399,DOCK DE CARGA,ORG
IPHONES,IPHONES,IPHONE XR,DOCK DE CARGA - PRIME,230,DOCK DE CARGA,PRIME
IPHONES,IPHONES,IPHONE XR,LENTE CAMERA TRASEIRA,149,LENTE CAMERA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE XR,AURICULAR,185,AURICULAR,VALOR
IPHONES,IPHONES,IPHONE XR,AURICULAR - COM FACE ID,295,AURICULAR,COM FACE ID
IPHONES,IPHONES,IPHONE 11,TELA - VIDRO,149,TELA,VIDRO
IPHONES,IPHONES,IPHONE 11,TELA - PRIME,309,TELA,PRIME
IPHONES,IPHONES,IPHONE 11,BATERIA,249,BATERIA,VALOR
IPHONES,IPHONES,IPHONE 11,BATERIA - SEM MENSAG,319,BATERIA,SEM MENSAG
IPHONES,IPHONES,IPHONE 11,TAMPA TRASEIRA,235,TAMPA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE 11,REPARO EM PLACA - PLACA,449,REPARO EM PLACA,PLACA
IPHONES,IPHONES,IPHONE 11,REPARO EM PLACA - REDE/WIFI,792,REPARO EM PLACA,REDE/WIFI
IPHONES,IPHONES,IPHONE 11,REPARO EM PLACA - CUSTO LUAN,200,REPARO EM PLACA,CUSTO LUAN
IPHONES,IPHONES,IPHONE 11,FACE ID,279,FACE ID,VALOR
IPHONES,IPHONES,IPHONE 11,FACE ID - CUSTO LUAN,250,FACE ID,CUSTO LUAN
IPHONES,IPHONES,IPHONE 11,CARCAÇAS,449,CARCAÇAS,VALOR
IPHONES,IPHONES,IPHONE 11,CAMERA FRONTAL,200,CAMERA FRONTAL,VALOR
IPHONES,IPHONES,IPHONE 11,CAMERA FRONTAL - COM FACE ID,527,CAMERA FRONTAL,COM FACE ID
IPHONES,IPHONES,IPHONE 11,CAMERA TRASEIRA,299,CAMERA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE 11,DOCK DE CARGA - ORG,350,DOCK DE CARGA,ORG
IPHONES,IPHONES,IPHONE 11,DOCK DE CARGA - PRIME,199,DOCK DE CARGA,PRIME
IPHONES,IPHONES,IPHONE 11,LENTE CAMERA TRASEIRA,179,LENTE CAMERA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE 11,AURICULAR,196,AURICULAR,VALOR
IPHONES,IPHONES,IPHONE 11,AURICULAR - COM FACE ID,308,AURICULAR,COM FACE ID
IPHONES,IPHONES,IPHONE 11,ALTO FALANTE,173,ALTO FALANTE,VALOR
IPHONES,IPHONES,IPHONE 11 PRO,TELA - VIDRO,189,TELA,VIDRO
IPHONES,IPHONES,IPHONE 11 PRO,TELA - PRIME,417,TELA,PRIME
IPHONES,IPHONES,IPHONE 11 PRO,BATERIA,289,BATERIA,VALOR
IPHONES,IPHONES,IPHONE 11 PRO,BATERIA - SEM MENSAG,355,BATERIA,SEM MENSAG
IPHONES,IPHONES,IPHONE 11 PRO,TAMPA TRASEIRA,235,TAMPA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE 11 PRO,REPARO EM PLACA - PLACA,449,REPARO EM PLACA,PLACA
IPHONES,IPHONES,IPHONE 11 PRO,REPARO EM PLACA - CUSTO LUAN,200,REPARO EM PLACA,CUSTO LUAN
IPHONES,IPHONES,IPHONE 11 PRO,FACE ID,279,FACE ID,VALOR
IPHONES,IPHONES,IPHONE 11 PRO,FACE ID - CUSTO LUAN,250,FACE ID,CUSTO LUAN
IPHONES,IPHONES,IPHONE 11 PRO,CARCAÇAS,449,CARCAÇAS,VALOR
IPHONES,IPHONES,IPHONE 11 PRO,CAMERA TRASEIRA,649,CAMERA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE 11 PRO,DOCK DE CARGA - ORG,449,DOCK DE CARGA,ORG
IPHONES,IPHONES,IPHONE 11 PRO,LENTE CAMERA TRASEIRA,179,LENTE CAMERA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE 11 PRO,AURICULAR,196,AURICULAR,VALOR
IPHONES,IPHONES,IPHONE 11 PRO,AURICULAR - COM FACE ID,308,AURICULAR,COM FACE ID
IPHONES,IPHONES,IPHONE 11 PMX,TELA - VIDRO,189,TELA,VIDRO
IPHONES,IPHONES,IPHONE 11 PMX,TELA - PRIME,417,TELA,PRIME
IPHONES,IPHONES,IPHONE 11 PMX,BATERIA,297,BATERIA,VALOR
IPHONES,IPHONES,IPHONE 11 PMX,BATERIA - SEM MENSAG,365,BATERIA,SEM MENSAG
IPHONES,IPHONES,IPHONE 11 PMX,TAMPA TRASEIRA,235,TAMPA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE 11 PMX,REPARO EM PLACA - PLACA,449,REPARO EM PLACA,PLACA
IPHONES,IPHONES,IPHONE 11 PMX,REPARO EM PLACA - REDE/WIFI,959,REPARO EM PLACA,REDE/WIFI
IPHONES,IPHONES,IPHONE 11 PMX,REPARO EM PLACA - CUSTO LUAN,200,REPARO EM PLACA,CUSTO LUAN
IPHONES,IPHONES,IPHONE 11 PMX,FACE ID,279,FACE ID,VALOR
IPHONES,IPHONES,IPHONE 11 PMX,FACE ID - CUSTO LUAN,250,FACE ID,CUSTO LUAN
IPHONES,IPHONES,IPHONE 11 PMX,CARCAÇAS,469,CARCAÇAS,VALOR
IPHONES,IPHONES,IPHONE 11 PMX,CAMERA FRONTAL,200,CAMERA FRONTAL,VALOR
IPHONES,IPHONES,IPHONE 11 PMX,CAMERA FRONTAL - COM FACE ID,527,CAMERA FRONTAL,COM FACE ID
IPHONES,IPHONES,IPHONE 11 PMX,CAMERA TRASEIRA,649,CAMERA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE 11 PMX,DOCK DE CARGA - ORG,490,DOCK DE CARGA,ORG
IPHONES,IPHONES,IPHONE 11 PMX,DOCK DE CARGA - PRIME,336,DOCK DE CARGA,PRIME
IPHONES,IPHONES,IPHONE 11 PMX,LENTE CAMERA TRASEIRA,179,LENTE CAMERA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE 11 PMX,AURICULAR,196,AURICULAR,VALOR
IPHONES,IPHONES,IPHONE 11 PMX,AURICULAR - COM FACE ID,308,AURICULAR,COM FACE ID
IPHONES,IPHONES,IPHONE 12,TELA - VIDRO,235,TELA,VIDRO
IPHONES,IPHONES,IPHONE 12,TELA - PRIME,435,TELA,PRIME
